brand,model,model_year,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,years_used,capacity,horsepower,cylinder_count,mileage_per_year,mileage_sqrt,mileage_with_age,mileage_per_year_with_age,mileage_brand,mileage,brand_category,log_price,power_to_weight_ratio,brand_frequency,model_frequency,brand_target_enc,model_target_enc,mileage_per_year_sqrt,mileage_times_age,mileage_sqrt_times_age,horsepower_times_cylinder_count,capacity_mileage_interaction,age_squared,mileage_binned,log_mileage,log_capacity,capacity_binned,horsepower_binned,age_binned,trans_num,brand_enc
Ford,Utility Police Interceptor Base,2013,Flex Fuel,Automatic,black,black,1,1,10300.0,11.0,3.7,300.0,6.0,4636.363636363636,225.8317958127243,90750.0506329114,8250.004602991945,72295.46113989638,51000,economy,9.239996256883693,81.08108108108108,373,3,34457.067024128686,10633.333333333334,68.09084840390547,561000.0,561000.0,1800.0,835.57764450708,121.0,Medium,10.839600519357369,1.547562508716013,4.0,300.0,9.0,1.0,0.0
Hyundai,Palisade SEL,2021,Gasoline,Automatic,other,gray,1,1,38005.0,3.0,3.8,331.5158054711246,6.0,11580.666666666666,186.392059916725,28360.137142857144,9453.379047619048,66143.98611111111,34742,economy,10.545499320981303,87.24100143976965,69,3,18434.434782608696,33201.666666666664,107.61350596773002,104226.0,104226.0,1989.0948328267477,708.289827683555,9.0,Low,10.455733391852487,1.5686159179138452,4.0,300.0,3.0,1.0,0.0
Lexus,RX 350 RX 350,2022,Gasoline,Automatic,blue,black,0,0,54598.0,2.0,3.5,331.5158054711246,5.778607628700987,11186.0,149.57272478630588,15360.254237288136,7680.127118644068,78124.0981595092,22372,luxury,10.90777084654696,94.71880156317846,162,1,35573.88888888889,54598.0,105.76388797694608,44744.0,44744.0,1915.6997625303932,523.5045367520706,4.0,Low,10.015610153673077,1.5040773967762742,4.0,300.0,3.0,1.0,1.0
INFINITI,Q50 Hybrid Sport,2015,Hybrid,Automatic,black,black,0,1,15500.0,9.0,3.5,354.0,6.0,9877.777777777776,298.16103031751146,82228.06140350878,9136.451267056533,82025.79661016949,88900,luxury,9.648659816955297,101.14285714285714,59,1,22927.64406779661,15500.0,99.38701010583715,800100.0,800100.0,2124.0,1043.56360611129,81.0,Medium,11.395278670032656,1.5040773967762742,4.0,400.0,9.0,1.0,1.0
Audi,Q3 45 S line Premium Plus,2021,Gasoline,Automatic,white,black,0,0,34999.0,3.0,2.0,331.5158054711246,4.0,3278.333333333333,99.17156850630124,28360.137142857144,9453.379047619048,57713.305,9835,luxury,10.46310334047155,165.7579027355623,194,1,39783.49484536082,34999.0,57.256731773070435,29505.0,29505.0,1326.0632218844985,198.34313701260248,9.0,Low,9.193804403336083,1.0986122886681098,2.0,300.0,3.0,1.0,1.0
Acura,ILX 2.4L,2016,Gasoline,Other,silver,other,0,0,14798.0,8.0,2.4,331.5158054711246,5.778607628700987,17049.625,369.3196447523473,77407.10820895522,9675.888526119405,74823.703125,136397,luxury,9.602314889901848,138.1315856129686,64,1,28034.078125,14798.0,130.57421261489574,1091176.0,1091176.0,1915.6997625303932,886.3671474056335,64.0,High,11.8233323615274,1.2237754316221157,2.0,300.0,9.0,0.0,1.0
Audi,S3 2.0T Premium Plus,2017,Gasoline,Automatic,blue,black,0,1,31000.0,7.0,2.0,292.0,4.0,12000.0,289.8275349237888,69980.33204633204,9997.19029233315,57713.305,84000,luxury,10.34177474101152,146.0,194,2,39783.49484536082,26250.0,109.54451150103323,588000.0,588000.0,1168.0,579.6550698475776,49.0,Medium,11.338583982516495,1.0986122886681098,2.0,300.0,9.0,1.0,1.0
BMW,740 iL,2001,Gasoline,Automatic,green,green,0,1,7300.0,23.0,4.4,282.0,8.0,10521.739130434782,491.9349550499537,114737.4705882353,4988.58567774936,57200.99733333333,242000,luxury,8.895766604056085,64.09090909090908,367,1,40750.226158038146,7300.0,102.57552890643451,5566000.0,5566000.0,2256.0,2164.5138022197966,529.0,,12.396697137361691,1.6863989535702288,4.0,300.0,21.0,1.0,1.0
Lexus,RC 350 F Sport,2021,Gasoline,Automatic,black,black,0,1,41927.0,3.0,3.5,311.0,6.0,7812.0,153.08820986607688,28360.137142857144,9453.379047619048,78124.0981595092,23436,luxury,10.643709140482002,88.85714285714286,162,1,35573.88888888889,41927.0,88.38551917593742,70308.0,70308.0,1866.0,535.8087345312691,9.0,Low,10.062071249151874,1.5040773967762742,4.0,300.0,3.0,1.0,1.0
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,Gasoline,Automatic,white,other,0,0,73897.0,3.0,3.686430639642011,331.5158054711246,6.0,9202.666666666666,166.15655268450897,28360.137142857144,9453.379047619048,57136.94615384616,27608,luxury,11.210441042970608,89.92867027150092,130,1,55764.06153846154,73897.0,95.93053042002148,82824.0,82824.0,1989.0948328267477,612.5246067934659,9.0,Low,10.225897085506967,1.5446712350611704,4.0,300.0,3.0,1.0,1.0
